time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-03-04 04:00:00,43.3532405,91.825,1004.6666666666666,4.716666666666667,0.921,7.8,8.553416666666667,6.700333333333333,0,5,4,3,43.064602,
2017-03-04 05:00:00,43.082519,92.48333333333332,1003.8333333333334,2.7583333333333333,0.87025,8.131666666666666,7.12875,5.255166666666667,0,5,5,3,43.3532405,
2017-03-04 06:00:00,43.803569,93.225,1004.25,1.2333333333333334,1.0111666666666668,7.609999999999999,7.966083333333334,6.364416666666667,0,5,6,3,43.082519,
2017-03-04 07:00:00,48.1012455,93.56666666666666,1004.9166666666666,0.5583333333333332,8.956916666666666,7.378333333333333,9.540833333333332,7.355583333333333,0,5,7,3,43.803569,
2017-03-04 08:00:00,49.593819,93.59166666666664,1006.4166666666666,0.25,39.1925,7.308333333333334,9.456666666666669,7.300416666666667,0,5,8,3,48.1012455,
2017-03-04 09:00:00,49.85733,90.66666666666669,1007.9166666666666,0.0,217.465,7.941666666666666,9.685416666666669,7.569166666666667,0,5,9,3,49.593819,
2017-03-04 10:00:00,51.9791835,81.80833333333334,1009.0,0.0,402.6833333333333,9.240833333333333,8.491083333333334,6.372916666666666,0,5,10,3,49.85733,
2017-03-04 11:00:00,52.4743045,73.28833333333334,1010.8333333333334,0.0,423.75,10.810833333333331,6.24625,5.052583333333334,0,5,11,3,51.9791835,
2017-03-04 12:00:00,51.899431,63.99333333333333,1012.0,0.0,625.8833333333333,12.023333333333332,6.876916666666666,5.5595,0,5,12,3,52.4743045,
2017-03-04 13:00:00,50.810864,53.3775,1012.0,0.0,649.15,13.24,7.924666666666667,6.250916666666666,0,5,13,3,51.899431,
2017-03-04 14:00:00,51.671317,50.844166666666666,1012.0,0.0,642.5500000000001,13.869166666666668,5.932,4.53925,0,5,14,3,50.810864,
2017-03-04 15:00:00,51.342693,49.939166666666665,1012.5,0.0,545.1333333333333,13.966666666666669,5.681,4.65425,0,5,15,3,51.671317,
2017-03-04 16:00:00,52.223685,51.803333333333335,1013.5833333333334,0.0,358.55,13.240833333333336,6.875666666666668,5.733416666666667,0,5,16,3,51.342693,
2017-03-04 17:00:00,53.3461195,56.23583333333334,1014.0,0.0,127.0825,12.3875,5.32475,4.383333333333334,0,5,17,3,52.223685,
